Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn)
Ålesund Iv;SN60945;18.05.2020;6,4;10,7;3
Ålesund Iv;SN60945;19.05.2020;6,2;10,8;1,9
Ålesund Iv;SN60945;20.05.2020;8,6;13,9;2,5
Ålesund Iv;SN60945;21.05.2020;12,4;17,6;8,2
Ålesund Iv;SN60945;22.05.2020;14,1;19,7;9,8
Ålesund Iv;SN60945;23.05.2020;14;16,9;12,3
Ålesund Iv;SN60945;24.05.2020;12;15,4;9,8
Ålesund Iv;SN60945;25.05.2020;11,2;14,9;7,8
Bodø Vi;SN82290;26.11.2019;1,1;2,9;-0,6
Bodø Vi;SN82290;27.11.2019;-2;1;-3,1
Bodø Vi;SN82290;28.11.2019;-3,4;-0,9;-4,7
Bodø Vi;SN82290;29.11.2019;-2,4;1,3;-7,1
Bodø Vi;SN82290;30.11.2019;-1,9;0,7;-5,5
Bodø Vi;SN82290;01.12.2019;0,8;2,3;-3,8
Bodø Vi;SN82290;02.12.2019;1,6;2,7;0
Bodø Vi;SN82290;03.12.2019;3,3;6,1;0,5
Bodø Vi;SN82290;04.12.2019;7,2;8,4;5,8
Bodø Vi;SN82290;05.12.2019;3,1;7,6;0,8
Bodø Vi;SN82290;06.12.2019;3,1;4,4;0,9
Bodø Vi;SN82290;07.12.2019;3,8;5;2,5
Bodø Vi;SN82290;08.12.2019;-0,6;3,3;-3,1
Bodø Vi;SN82290;09.12.2019;-3,3;-0,2;-6
Bodø Vi;SN82290;10.12.2019;-2,7;0;-6,5
Bodø Vi;SN82290;11.12.2019;2,3;4,9;-3,3
Bodø Vi;SN82290;12.12.2019;4,2;5,7;2,5
Bodø Vi;SN82290;13.12.2019;3,1;5,4;2
Bodø Vi;SN82290;14.12.2019;3,5;4,8;0,9
Bodø Vi;SN82290;15.12.2019;3,8;4,3;3,2
Bodø Vi;SN82290;16.12.2019;1,2;4,1;-0,4
Bodø Vi;SN82290;17.12.2019;-0,9;0,7;-2,9
Bodø Vi;SN82290;18.12.2019;1,4;3,2;-3
Bodø Vi;SN82290;19.12.2019;2,4;4,6;1
Bodø Vi;SN82290;20.12.2019;0,1;2,1;-1,4
Bodø Vi;SN82290;21.12.2019;2,3;3,4;-1
Bodø Vi;SN82290;22.12.2019;4;5,6;2,5
Bodø Vi;SN82290;23.12.2019;1,6;4,1;0,5
Bodø Vi;SN82290;24.12.2019;1,2;1,9;0,7
Bodø Vi;SN82290;25.12.2019;-1;1,2;-1,7
Bodø Vi;SN82290;26.12.2019;-1,2;-0,3;-1,8
Bodø Vi;SN82290;27.12.2019;-1,8;-0,8;-2,8
Bodø Vi;SN82290;28.12.2019;3,9;7,6;-2,6
Bodø Vi;SN82290;29.12.2019;6,4;8,4;4,7
Bodø Vi;SN82290;30.12.2019;3,9;8;2
Bodø Vi;SN82290;31.12.2019;2,4;3,3;0,9
Bodø Vi;SN82290;01.01.2020;5,1;7,8;0,3
Bodø Vi;SN82290;02.01.2020;7;9,3;3,5
Bodø Vi;SN82290;03.01.2020;1,6;8,7;-0,8
Bodø Vi;SN82290;04.01.2020;0,4;2,5;-1,8
Bodø Vi;SN82290;05.01.2020;0,8;1,9;-3,2
Bodø Vi;SN82290;06.01.2020;5,1;5,8;0
Bodø Vi;SN82290;07.01.2020;5,8;8,4;4,3
Bodø Vi;SN82290;08.01.2020;4,4;7,3;0,6
Bodø Vi;SN82290;09.01.2020;3,4;5;0
Bodø Vi;SN82290;10.01.2020;3,6;4,6;2,4
Bodø Vi;SN82290;11.01.2020;3,9;6;1,3
Bodø Vi;SN82290;12.01.2020;3,1;6,2;0,8
Bodø Vi;SN82290;13.01.2020;2,9;4,5;1,2
Bodø Vi;SN82290;14.01.2020;2;4,2;0,3
Bodø Vi;SN82290;15.01.2020;1,9;4,8;0,2
Bodø Vi;SN82290;16.01.2020;2,6;4,9;0,2
Bodø Vi;SN82290;17.01.2020;3,4;6,1;1,8
Bodø Vi;SN82290;18.01.2020;0,6;2,1;-0,6
Bodø Vi;SN82290;19.01.2020;1,6;4,1;-0,1
Bodø Vi;SN82290;20.01.2020;5,2;7,4;3,7
Bodø Vi;SN82290;21.01.2020;2,2;5,5;-0,3
Bodø Vi;SN82290;22.01.2020;2,4;3,9;0,4
Bodø Vi;SN82290;23.01.2020;2,8;6;0,3
Bodø Vi;SN82290;24.01.2020;0,6;3,6;-0,6
Bodø Vi;SN82290;25.01.2020;0,4;2,4;-0,7
Bodø Vi;SN82290;26.01.2020;-2,8;-0,7;-3,8
Bodø Vi;SN82290;27.01.2020;-3,2;-2,5;-4,3
Bodø Vi;SN82290;28.01.2020;-2,8;-2;-3,5
Bodø Vi;SN82290;29.01.2020;-2,2;0;-3,8
Bodø Vi;SN82290;30.01.2020;-0,8;0,3;-2
Bodø Vi;SN82290;31.01.2020;1,3;3,9;-1,9
Bodø Vi;SN82290;01.02.2020;3,2;4,5;1,4
Bodø Vi;SN82290;02.02.2020;2;4,2;1,2
Bodø Vi;SN82290;03.02.2020;-1,9;2;-5,1
Bodø Vi;SN82290;04.02.2020;-3,4;0,8;-7,8
Bodø Vi;SN82290;05.02.2020;-1,4;1,1;-3,9
Bodø Vi;SN82290;06.02.2020;-0,6;0,5;-2,3
Bodø Vi;SN82290;07.02.2020;3,9;5,9;-2,1
Bodø Vi;SN82290;08.02.2020;2,6;6,2;1,5
Bodø Vi;SN82290;09.02.2020;3,9;5,9;2
Bodø Vi;SN82290;10.02.2020;2;4,6;0,5
Bodø Vi;SN82290;11.02.2020;3,3;4,3;1,1
Bodø Vi;SN82290;12.02.2020;1;3,1;0,3
Bodø Vi;SN82290;13.02.2020;-0,6;1,8;-2,7
Bodø Vi;SN82290;14.02.2020;0,3;1,9;-1,3
Bodø Vi;SN82290;15.02.2020;-0,7;0,1;-2,5
Bodø Vi;SN82290;16.02.2020;2,2;4,9;-0,3
Bodø Vi;SN82290;17.02.2020;1,8;4,6;0
Bodø Vi;SN82290;18.02.2020;1,7;3,5;0,6
Bodø Vi;SN82290;19.02.2020;-2,9;1,8;-5,5
Bodø Vi;SN82290;20.02.2020;-0,4;2,5;-5,2
Bodø Vi;SN82290;21.02.2020;3,5;5,4;0,8
Bodø Vi;SN82290;22.02.2020;3,6;5,8;2
Bodø Vi;SN82290;23.02.2020;2,3;4,1;0,2
Bodø Vi;SN82290;24.02.2020;0,3;2,1;-1,6
Bodø Vi;SN82290;25.02.2020;-1,1;1,5;-3,2
Bodø Vi;SN82290;26.02.2020;-2,3;-0,3;-3,5
Bodø Vi;SN82290;27.02.2020;-0,3;3,2;-3,8
Bodø Vi;SN82290;28.02.2020;-1,2;0,6;-2,4
Bodø Vi;SN82290;29.02.2020;-2,6;-0,1;-6,5
Bodø Vi;SN82290;01.03.2020;-5,9;-0,4;-11,9
Bodø Vi;SN82290;02.03.2020;-6,2;-3,1;-8,8
Bodø Vi;SN82290;03.03.2020;-3,2;0;-7,3
Bodø Vi;SN82290;04.03.2020;-0,7;0,4;-2
Bodø Vi;SN82290;05.03.2020;-2,5;0,2;-4,3
Bodø Vi;SN82290;06.03.2020;0,3;3,9;-4,3
Bodø Vi;SN82290;07.03.2020;3,3;5,8;0,4
Bodø Vi;SN82290;08.03.2020;2,2;3,7;0,8
Bodø Vi;SN82290;09.03.2020;4,4;6,1;2,3
Bodø Vi;SN82290;10.03.2020;3,3;5,2;2,2
Bodø Vi;SN82290;11.03.2020;2,2;3,8;1,1
Bodø Vi;SN82290;12.03.2020;-0,2;1,8;-1,3
Bodø Vi;SN82290;13.03.2020;-3,1;-1;-4,8
Bodø Vi;SN82290;14.03.2020;-0,5;2,7;-4,1
Bodø Vi;SN82290;15.03.2020;0,6;3,7;-1,2
Bodø Vi;SN82290;16.03.2020;1,2;3,8;-2
Bodø Vi;SN82290;17.03.2020;2,9;5;0,4
Bodø Vi;SN82290;18.03.2020;1,9;3,8;0,5
Bodø Vi;SN82290;19.03.2020;0,1;2,2;-2,2
Bodø Vi;SN82290;20.03.2020;-0,6;1,1;-3
Bodø Vi;SN82290;21.03.2020;0,9;2,8;-2,1
Bodø Vi;SN82290;22.03.2020;3,4;4,9;1
Bodø Vi;SN82290;23.03.2020;4,8;6;2,7
Bodø Vi;SN82290;24.03.2020;4,9;6,8;1,4
Bodø Vi;SN82290;25.03.2020;2,7;4,7;0,2
Bodø Vi;SN82290;26.03.2020;4,2;6,5;2,1
Bodø Vi;SN82290;27.03.2020;2,8;5,3;0,8
Bodø Vi;SN82290;28.03.2020;-1,7;3,7;-4
Bodø Vi;SN82290;29.03.2020;-1,9;1,7;-3,9
Bodø Vi;SN82290;30.03.2020;-1,1;0,7;-5,7
Bodø Vi;SN82290;31.03.2020;3;4,4;-0,1
Bodø Vi;SN82290;01.04.2020;1,4;4,4;0,2
Bodø Vi;SN82290;02.04.2020;-0,3;2,4;-3,3
Bodø Vi;SN82290;03.04.2020;-0,6;2,4;-5,4
Bodø Vi;SN82290;04.04.2020;-2;-0,1;-4,2
Bodø Vi;SN82290;05.04.2020;-1;4,6;-4,3
Bodø Vi;SN82290;06.04.2020;3,1;5,9;-1,9
Bodø Vi;SN82290;07.04.2020;5,6;7,6;3,5
Bodø Vi;SN82290;08.04.2020;3,9;7,3;0,8
Bodø Vi;SN82290;09.04.2020;1,8;3,3;-0,1
Bodø Vi;SN82290;10.04.2020;0,6;2,6;-1,6
Bodø Vi;SN82290;11.04.2020;1,3;4,2;-1,2
Bodø Vi;SN82290;12.04.2020;0,6;2,4;-1,2
Bodø Vi;SN82290;13.04.2020;2,1;4,4;0
Bodø Vi;SN82290;14.04.2020;2,7;4,4;1,2
Bodø Vi;SN82290;15.04.2020;2,3;4,7;0,8
Bodø Vi;SN82290;16.04.2020;2,1;4,3;0,2
Bodø Vi;SN82290;17.04.2020;3,1;5,1;1,3
Bodø Vi;SN82290;18.04.2020;4,6;5,8;1,7
Bodø Vi;SN82290;19.04.2020;5,1;5,8;4,2
Bodø Vi;SN82290;20.04.2020;5,3;6;4,7
Bodø Vi;SN82290;21.04.2020;5,1;6,6;4,2
Bodø Vi;SN82290;22.04.2020;4,3;5,5;3,4
Bodø Vi;SN82290;23.04.2020;4,4;5,4;3,6
Bodø Vi;SN82290;24.04.2020;4,7;7;4
Bodø Vi;SN82290;25.04.2020;3,8;5,8;2,2
Bodø Vi;SN82290;26.04.2020;4,2;6,2;3,2
Bodø Vi;SN82290;27.04.2020;4;8;-1,2
Bodø Vi;SN82290;28.04.2020;3;6,1;0,1
Bodø Vi;SN82290;29.04.2020;3,7;6,5;1
Bodø Vi;SN82290;30.04.2020;4,5;8;0,9
Bodø Vi;SN82290;01.05.2020;5,9;8,4;2,2
Bodø Vi;SN82290;02.05.2020;5;6,7;4,4
Bodø Vi;SN82290;03.05.2020;4,3;5,9;2,4
Bodø Vi;SN82290;04.05.2020;4,8;7;3,4
Bodø Vi;SN82290;05.05.2020;4,7;7;3,2
Bodø Vi;SN82290;06.05.2020;3,6;5,3;1,5
Bodø Vi;SN82290;07.05.2020;2,4;5,3;0,6
Bodø Vi;SN82290;08.05.2020;2,3;5;-0,1
Bodø Vi;SN82290;09.05.2020;1,2;4,1;-0,5
Bodø Vi;SN82290;10.05.2020;1,4;4,1;-1,8
Bodø Vi;SN82290;11.05.2020;1,9;4,6;-0,6
Bodø Vi;SN82290;12.05.2020;2,2;5,3;0
Bodø Vi;SN82290;13.05.2020;0,8;2,3;-1,6
Bodø Vi;SN82290;14.05.2020;2,1;4,2;-0,7
Bodø Vi;SN82290;15.05.2020;1,8;3,8;0,1
Bodø Vi;SN82290;16.05.2020;5,3;8,5;0,6
Bodø Vi;SN82290;17.05.2020;6,1;10,1;2,7
Bodø Vi;SN82290;18.05.2020;4,4;6,4;3,3
Bodø Vi;SN82290;19.05.2020;4,5;8,4;-0,6
Bodø Vi;SN82290;20.05.2020;5;9,1;0
Bodø Vi;SN82290;21.05.2020;7,1;11,4;1,5
Bodø Vi;SN82290;22.05.2020;11,6;15,9;4,5
Bodø Vi;SN82290;23.05.2020;11,9;14,4;11
Bodø Vi;SN82290;24.05.2020;10,5;13,7;8,3
Bodø Vi;SN82290;25.05.2020;8,7;11,2;7,8
Hamar Ii;SN12290;26.05.2020;-;20,3;9,2
Oslo - Blindern;SN18700;26.05.2020;-;19,4;8,1
Ålesund Iv;SN60945;26.05.2020;-;15,3;9,4
Bodø Vi;SN82290;26.05.2020;-;14,6;5,3
Arendal Lufthavn;SN36330;26.11.2019;2,6;2,2;1,9
Arendal Lufthavn;SN36330;27.11.2019;2;1,8;1,7
Arendal Lufthavn;SN36330;28.11.2019;1,9;0,6;0,3
Arendal Lufthavn;SN36330;29.11.2019;1,7;-0,7;-2,9
Arendal Lufthavn;SN36330;30.11.2019;3,5;-1,7;-4,3
Arendal Lufthavn;SN36330;01.12.2019;0,7;-2;-6,8
Arendal Lufthavn;SN36330;02.12.2019;2,7;-1,7;-3,6
Arendal Lufthavn;SN36330;03.12.2019;9,1;3,2;-6,4
Arendal Lufthavn;SN36330;04.12.2019;8,8;5,4;1,3
Arendal Lufthavn;SN36330;05.12.2019;7,2;6,2;3
Arendal Lufthavn;SN36330;06.12.2019;7,8;6;4
Arendal Lufthavn;SN36330;07.12.2019;5,6;2,8;-1,5
Arendal Lufthavn;SN36330;08.12.2019;8,7;3,7;-0,2
Arendal Lufthavn;SN36330;09.12.2019;6;2,9;1
Arendal Lufthavn;SN36330;10.12.2019;4,7;0;-5,5
Arendal Lufthavn;SN36330;11.12.2019;7,9;4,4;1,3
Arendal Lufthavn;SN36330;12.12.2019;3,9;1,6;-1,3
Arendal Lufthavn;SN36330;13.12.2019;3,9;2,6;-2
Arendal Lufthavn;SN36330;14.12.2019;3;2,4;1,1
Arendal Lufthavn;SN36330;15.12.2019;3;0,1;-0,9
Arendal Lufthavn;SN36330;16.12.2019;0,7;-0,2;-2,3
Arendal Lufthavn;SN36330;17.12.2019;1,2;0;-2,2
Arendal Lufthavn;SN36330;18.12.2019;3,6;0,7;-1,1
Arendal Lufthavn;SN36330;19.12.2019;5,7;2,1;-3,2
Arendal Lufthavn;SN36330;20.12.2019;5,8;4,1;2,7
Arendal Lufthavn;SN36330;21.12.2019;7,1;5,4;4
Arendal Lufthavn;SN36330;22.12.2019;5,6;4,4;3,5
Arendal Lufthavn;SN36330;23.12.2019;5;4,2;3,3
Arendal Lufthavn;SN36330;24.12.2019;5,3;2,1;1,4
Arendal Lufthavn;SN36330;25.12.2019;2,1;-1,2;-2,2
Arendal Lufthavn;SN36330;26.12.2019;0,3;-2,7;-4
Arendal Lufthavn;SN36330;27.12.2019;-0,9;-4;-7
Arendal Lufthavn;SN36330;28.12.2019;3,1;0,1;-3,8
Arendal Lufthavn;SN36330;29.12.2019;7,7;6,7;3
Arendal Lufthavn;SN36330;30.12.2019;10,9;8;5,8
Arendal Lufthavn;SN36330;31.12.2019;6,4;4,7;2,5
Arendal Lufthavn;SN36330;01.01.2020;6,6;5,6;3,9
Arendal Lufthavn;SN36330;02.01.2020;6,9;6,3;5,4
Arendal Lufthavn;SN36330;03.01.2020;8,7;5;3
Arendal Lufthavn;SN36330;04.01.2020;4,4;0,7;-2,1
Arendal Lufthavn;SN36330;05.01.2020;6,7;1,5;-6,1
Arendal Lufthavn;SN36330;06.01.2020;7,5;6;3,3
Arendal Lufthavn;SN36330;07.01.2020;6,1;5,3;1,7
Arendal Lufthavn;SN36330;08.01.2020;9,8;6;3,7
Arendal Lufthavn;SN36330;09.01.2020;4,3;1,3;-0,1
Arendal Lufthavn;SN36330;10.01.2020;3,1;-0,9;-3,6
Arendal Lufthavn;SN36330;11.01.2020;7,2;4,6;-5,6
Arendal Lufthavn;SN36330;12.01.2020;8,2;3,5;0
Arendal Lufthavn;SN36330;13.01.2020;4,5;2,5;-1,2
Arendal Lufthavn;SN36330;14.01.2020;6,5;5;3,2
Arendal Lufthavn;SN36330;15.01.2020;9,5;6;4,2
Arendal Lufthavn;SN36330;16.01.2020;8;6,1;4,1
Arendal Lufthavn;SN36330;17.01.2020;7,1;6,3;4,7
Arendal Lufthavn;SN36330;18.01.2020;6,2;4,6;3,4
Arendal Lufthavn;SN36330;19.01.2020;6,9;3,8;0,3
Arendal Lufthavn;SN36330;20.01.2020;10,3;6,7;1,3
Arendal Lufthavn;SN36330;21.01.2020;10,4;6,9;3,6
Arendal Lufthavn;SN36330;22.01.2020;8,1;1,8;-2,5
Arendal Lufthavn;SN36330;23.01.2020;10,1;5;-3,8
Arendal Lufthavn;SN36330;24.01.2020;8,3;5,6;4
Arendal Lufthavn;SN36330;25.01.2020;6,7;4,6;1,3
Arendal Lufthavn;SN36330;26.01.2020;6,7;5,5;4,3
Arendal Lufthavn;SN36330;27.01.2020;6,8;4,6;3,4
Arendal Lufthavn;SN36330;28.01.2020;5;1,1;-1,1
Arendal Lufthavn;SN36330;29.01.2020;5,1;1,4;-1,4
Arendal Lufthavn;SN36330;30.01.2020;0,9;0,1;-2,4
Arendal Lufthavn;SN36330;31.01.2020;4,8;2,5;0,2
Arendal Lufthavn;SN36330;01.02.2020;8,1;6,6;4,2
Arendal Lufthavn;SN36330;02.02.2020;6,4;2,4;1
Arendal Lufthavn;SN36330;03.02.2020;1,1;-1,6;-5,3
Arendal Lufthavn;SN36330;20.02.2020;6,4;3,8;-2
Arendal Lufthavn;SN36330;21.02.2020;7,1;4,8;1,5
Arendal Lufthavn;SN36330;22.02.2020;7,8;4,7;0,5
Arendal Lufthavn;SN36330;23.02.2020;6,9;3,5;1,2
Arendal Lufthavn;SN36330;24.02.2020;6,7;1,8;-3
Arendal Lufthavn;SN36330;25.02.2020;2;-0,5;-1,2
Arendal Lufthavn;SN36330;26.02.2020;1,8;-2,9;-6,3
Arendal Lufthavn;SN36330;27.02.2020;-1,5;-3,2;-9,1
Arendal Lufthavn;SN36330;28.02.2020;5,4;0;-3,2
Arendal Lufthavn;SN36330;29.02.2020;2;0,6;-1,3
Arendal Lufthavn;SN36330;01.03.2020;5,2;2,2;-0,6
Arendal Lufthavn;SN36330;02.03.2020;6,7;2,9;1,5
Arendal Lufthavn;SN36330;03.03.2020;3,4;1,9;-1,5
Arendal Lufthavn;SN36330;04.03.2020;6,1;1,2;0,1
Arendal Lufthavn;SN36330;05.03.2020;8,3;0,1;-3,8
Arendal Lufthavn;SN36330;06.03.2020;5,4;-0,5;-4,3
Arendal Lufthavn;SN36330;07.03.2020;2,6;-0,4;-7,2
Arendal Lufthavn;SN36330;08.03.2020;6,3;5,4;1,8
Arendal Lufthavn;SN36330;09.03.2020;8,6;4,3;0,9
Arendal Lufthavn;SN36330;10.03.2020;4,3;3,6;1,3
Arendal Lufthavn;SN36330;11.03.2020;8,9;5,2;0,9
Arendal Lufthavn;SN36330;12.03.2020;7,7;2,9;0,9
Arendal Lufthavn;SN36330;13.03.2020;4,2;0,5;-1,4
Arendal Lufthavn;SN36330;14.03.2020;4,2;-0,5;-8,3
Arendal Lufthavn;SN36330;15.03.2020;6,7;5,3;2,5
Arendal Lufthavn;SN36330;16.03.2020;6,6;3,7;0,1
Arendal Lufthavn;SN36330;17.03.2020;12,2;6,8;1,5
Arendal Lufthavn;SN36330;18.03.2020;9,3;4,9;1,6
Arendal Lufthavn;SN36330;19.03.2020;10;4,7;-0,8
Arendal Lufthavn;SN36330;20.03.2020;6,9;1,8;-2,9
Arendal Lufthavn;SN36330;21.03.2020;5,2;-0,3;-5,1
Arendal Lufthavn;SN36330;22.03.2020;5,3;0,1;-6,3
Arendal Lufthavn;SN36330;23.03.2020;5,1;2,6;-1
Arendal Lufthavn;SN36330;24.03.2020;7,5;3,8;-1,5
Arendal Lufthavn;SN36330;25.03.2020;11;5,9;2,5
Arendal Lufthavn;SN36330;26.03.2020;11,2;4,2;-1,1
Arendal Lufthavn;SN36330;27.03.2020;13,9;4,6;-5,2
Arendal Lufthavn;SN36330;28.03.2020;10,6;4;-2,3
Arendal Lufthavn;SN36330;29.03.2020;6,7;1,9;-2,6
Arendal Lufthavn;SN36330;30.03.2020;6,5;2;-0,8
Arendal Lufthavn;SN36330;31.03.2020;11,4;4,3;-5,7
Arendal Lufthavn;SN36330;01.04.2020;10,8;6,7;3,8
Arendal Lufthavn;SN36330;02.04.2020;8,6;4,1;1,6
Arendal Lufthavn;SN36330;03.04.2020;7,7;3,2;0,2
Arendal Lufthavn;SN36330;04.04.2020;6,6;1,9;-2,7
Arendal Lufthavn;SN36330;05.04.2020;12,3;5,6;2
Arendal Lufthavn;SN36330;06.04.2020;12,7;5,9;-2,4
Arendal Lufthavn;SN36330;07.04.2020;14,6;9;5
Arendal Lufthavn;SN36330;08.04.2020;15,1;8;-0,1
Arendal Lufthavn;SN36330;09.04.2020;11,7;6,1;0,2
Arendal Lufthavn;SN36330;10.04.2020;9,5;3,8;-2,6
Arendal Lufthavn;SN36330;11.04.2020;6,2;4,1;0,2
Arendal Lufthavn;SN36330;12.04.2020;13,3;7,6;5,1
Arendal Lufthavn;SN36330;13.04.2020;8,4;3,8;0,4
Arendal Lufthavn;SN36330;14.04.2020;11,5;4,5;-5
Arendal Lufthavn;SN36330;15.04.2020;15,9;9,7;5,4
Arendal Lufthavn;SN36330;16.04.2020;13,8;8,3;3,9
Arendal Lufthavn;SN36330;17.04.2020;9,7;4;-2,4
Arendal Lufthavn;SN36330;18.04.2020;11,3;4,8;-2,1
Arendal Lufthavn;SN36330;19.04.2020;13,7;5,7;-2,8
Arendal Lufthavn;SN36330;20.04.2020;15,6;8,9;0,8
Arendal Lufthavn;SN36330;21.04.2020;17,9;11,1;2
Arendal Lufthavn;SN36330;22.04.2020;18,4;12,2;4,6
Arendal Lufthavn;SN36330;23.04.2020;17,7;11,1;3,1
Arendal Lufthavn;SN36330;24.04.2020;15;9,5;5,4
Arendal Lufthavn;SN36330;25.04.2020;12,9;7,5;0,2
Arendal Lufthavn;SN36330;26.04.2020;12,8;7,5;-0,3
Arendal Lufthavn;SN36330;27.04.2020;13,8;8,3;5,2
Arendal Lufthavn;SN36330;28.04.2020;7,7;4,9;3,1
Arendal Lufthavn;SN36330;29.04.2020;8,6;4,9;1
Arendal Lufthavn;SN36330;30.04.2020;6;3,3;2,2
Arendal Lufthavn;SN36330;01.05.2020;11;5,6;0,9
Arendal Lufthavn;SN36330;02.05.2020;14;8,2;-1,1
Arendal Lufthavn;SN36330;03.05.2020;16,9;9;1,8
Arendal Lufthavn;SN36330;04.05.2020;12,7;5,8;1,1
Arendal Lufthavn;SN36330;05.05.2020;13,3;7,7;-0,1
Arendal Lufthavn;SN36330;06.05.2020;15,7;9,8;0,2
Arendal Lufthavn;SN36330;07.05.2020;17,4;10,8;3
Arendal Lufthavn;SN36330;08.05.2020;16,3;10,1;4,2
Arendal Lufthavn;SN36330;09.05.2020;17,7;10,2;0
Arendal Lufthavn;SN36330;10.05.2020;16,2;5,7;2,6
Arendal Lufthavn;SN36330;11.05.2020;11,5;5,1;-1,1
Arendal Lufthavn;SN36330;12.05.2020;10,8;5;1,1
Arendal Lufthavn;SN36330;13.05.2020;14;5,4;-2,1
Arendal Lufthavn;SN36330;14.05.2020;12,5;6,8;-1,6
Arendal Lufthavn;SN36330;15.05.2020;14,2;8,3;1,1
Arendal Lufthavn;SN36330;16.05.2020;10,4;6,5;0
Arendal Lufthavn;SN36330;17.05.2020;13,8;8,3;3,8
Arendal Lufthavn;SN36330;18.05.2020;14,5;9;0,8
Arendal Lufthavn;SN36330;19.05.2020;16,2;10,9;3
Arendal Lufthavn;SN36330;20.05.2020;14,9;10,3;5,8
Arendal Lufthavn;SN36330;21.05.2020;16,1;11;5
Arendal Lufthavn;SN36330;22.05.2020;13,7;9,8;4,8
Arendal Lufthavn;SN36330;23.05.2020;16,2;11,1;8,7
Arendal Lufthavn;SN36330;24.05.2020;16,8;11,5;8
Arendal Lufthavn;SN36330;25.05.2020;18,2;13,7;7,3
Arendal Lufthavn;SN36330;26.05.2020;21;-;6,1
Arendal Lufthavn;SN36330;04.02.2020;-;-0,7;-
Arendal Lufthavn;SN36330;05.02.2020;-;1,7;-
Arendal Lufthavn;SN36330;06.02.2020;-;3,3;-
Arendal Lufthavn;SN36330;07.02.2020;-;2,6;-
Arendal Lufthavn;SN36330;08.02.2020;-;3,6;-
Arendal Lufthavn;SN36330;09.02.2020;-;5,3;-
Arendal Lufthavn;SN36330;10.02.2020;-;3,6;-
Arendal Lufthavn;SN36330;11.02.2020;-;2;-
Arendal Lufthavn;SN36330;12.02.2020;-;2;-
Arendal Lufthavn;SN36330;13.02.2020;-;0,1;-
Arendal Lufthavn;SN36330;14.02.2020;-;0,3;-
Arendal Lufthavn;SN36330;15.02.2020;-;4,4;-
Arendal Lufthavn;SN36330;16.02.2020;-;6,3;-
Arendal Lufthavn;SN36330;17.02.2020;-;5;-
Arendal Lufthavn;SN36330;18.02.2020;-;3,7;-
Arendal Lufthavn;SN36330;19.02.2020;-;1,7;-